Data Category,Example Data Set,License,Format,Further Activity or Enhancement,To Be Completed By:
Government Accountability and Democracy,Federal Employee Retirement Data Repository,Public Domain,XML,"Will begin production data feeds from Federal payroll centers, and integrate data with other personnel systems.",December 2014
Health,Adverse Event Reporting System,CC0,"RESTful API, XML Download","Previously only available through limited quarterly reports and FOIA requests, these 3.9 million individual reports of drug adverse events and medication error reports are submitted anonymously by healthcare professionals and consumers will be made available in their entirety via API and bulk download. They are a critical tool to support safety surveillance.",June 2014
Health,Product Recalls,Public Domain,"RESTful API, XML","The Food and Drug Administration will release a RESTful API and XML of the public product recall data and add data not currently accessible from existing resources, such as product identifiers and geographic details.",August 2014
Health,National Notifiable Disease Surveillance System,Public Domain,"API, CSV, XML, JSON, REST, SOAP",Notifiable disease data will incorporate Tuberculosis data as well as combining weekly data into more accessible data sets with static URLs.,April 2014
Health,Structured Product Labels,Public Domain,"RESTful API, XML Download","Will be released for the first time and made available via API. With Structured Product Label data, for example, you could make tools to more easily identify which specific products have been affected by a recall.",Summer 2014
Health,The National Health Interview Survey,Public Domain,ASCII,"This data set, which covers health status and conditions, disability, access to and use of health services, health insurance coverage, immunizations, risk factors, and health-related behaviors will be expanded to include a representative sample of Native Hawaiian and Pacific Islanders (NHPI). Having a representative sample makes it possible to understand NHPI health problems, strengths, and needs",Summer 2015
Health,Medicare Reimbursements,Public Domain,"CSV, XLS, JSON","Historically, a permanent injunction, issued in 1979, prohibited the government from disclosing annual Medicare reimbursements paid to individual physicians under Medicare. In May 2013 this injunction was lifted. As a result, this data set was the first time CMS publicly released information about how physicians and other health care professionals in the Medicare program are paid.",April 2014
Health,National Sample Survey of Nurse Practitioners,Public Domain,SAS and ASCII,"For the first time, this anonymous survey data will be available on nurse practitioner practice patterns including: specialties, services offered, billing arrangements, relationships with physicians, impact of legal restrictions on practice, and job satisfaction.",Spring 2014
Science and Research,Interactive Chemical Safety for Sustainability Dashboard,Public Domain,Open,This dashboard was released in beta.,December 2013
Science and Research,Lab Data Clearinghouses,,,"Several Federal labs have adopted common data standards and host a central repository for scientific data in a given field, taking into account the need to separate proprietary data from public data. Clearinghouses such as the [Secure Transportation Data Project](http://www.nrel.gov/vehiclesandfuels/secure_transportation_data.html) and the [Buildings Performance Database](http://energy.gov/eere/buildings/buildings-performance-database) address these challenges by aggregating proprietary data into non- proprietary data clusters and stripping personally identifiable information and proprietary information from data points to make some of this data available to the public. By the end of 2015, additional clearinghouses will be formed and will help enable research and business use while protecting personal information and non- public proprietary commercial data.",March 2015
Statistics,Energy Production and Consumption for the United States,CC0,Open,These historical (50 years to present) U.S. energy production and consumption statistics will be released via API and bulk files.,June 2014
Statistics,[The Longitudinal Employer- Household Dynamics](http://lehd.ces.census.gov/),Public Domain,Open,"This longitudinal database of linked employer- employee microdata covers more than 95 percent of U.S. private-sector jobs. Today, access to certain microdata is only granted to qualified researchers on approved projects and at restricted sites. This database will expand segments of data to be available online for public use while continuing to protect privacy.",September 2014
Statistics,U.S. Coal Statistics,CC0,Open,"This data about coal production, mining, imports, exports, and shipments to electricity plants will be released via API and bulk files.",March 2014
Social Mobility and Welfare,Courses and Curriculum Developed Through the [Trade Adjustment Assistance Community College and Career Training Grant Program](http://www.doleta.gov/taaccct/),CC BY,API,"This data about education and career training programs that can be completed in two years or less, and prepare program participants for employment in high-wage, high-skill occupations, will be available to the public on an open, online open educational resources repository.",June 2014
Social Mobility and Welfare,Agricultural Census,Public Domain,"QuickStats API, XLS","The full agricultural census data set will be released, which can help the public evaluate changes to the American agricultural sector and food production over time.",May 2014
Transport and Infrastructure,Alternative Fuel Station Locator and Downloadable Data,CC0,Open,Will be updated based on feedback received at data summits.,September 2014
Transport and Infrastructure,Travel Warnings and Travel Alerts,Public Domain,API,U.S. Department of State's Bureau of Consular Affairs will release a new API to share travel warnings and alerts.,Fall 2014
